"","cbsa","state_abb","sample_size","mean_avo"
"1","Atlanta-Sandy Springs-Roswell","GA","13178","1.66"
"2","Austin-Round Rock","TX","10825","1.55"
"3","Baltimore-Columbia-Towson","MD","1855","1.52"
"4","Birmingham-Hoover","AL","396","1.62"
"5","Boston-Cambridge-Newton","MA","1664","1.72"
"6","Buffalo-Cheektowaga-Niagara Falls","NY","4090","1.52"
"7","Charlotte-Concord-Gastonia","NC","4241","1.57"
"8","Chicago-Naperville-Elgin","IL","4353","1.49"
"9","Cincinnati","OH","919","2.02"
"10","Cleveland-Elyria","OH","887","1.45"
"11","Columbus","OH","982","1.54"
"12","Dallas-Fort Worth-Arlington","TX","46225","1.6"
"13","Denver-Aurora-Lakewood","CO","1227","1.61"
"14","Detroit-Warren-Dearborn","MI","1455","1.49"
"15","Grand Rapids-Wyoming","MI","487","1.46"
"16","Hartford-West Hartford-East Hartford","CT","479","1.57"
"17","Houston-The Woodlands-Sugar Land","TX","23691","1.81"
"18","Indianapolis-Carmel-Anderson","IN","721","1.47"
"19","Jacksonville","FL","547","1.6"
"20","Kansas City","MO","836","1.58"
"21","Las Vegas-Henderson-Paradise","NV","730","1.53"
"22","Los Angeles-Long Beach-Anaheim","CA","14203","1.66"
"23","Louisville/Jefferson County","KY","407","2.15"
"24","Memphis","TN","377","1.42"
"25","Miami-Fort Lauderdale-West Palm Beach","FL","1309","1.64"
"26","Milwaukee-Waukesha-West Allis","WI","14900","1.61"
"27","Minneapolis-St. Paul-Bloomington","MN","3080","1.68"
"28","Nashville-Davidson--Murfreesboro--Franklin","TN","591","1.36"
"29","New Orleans-Metairie","LA","340","1.44"
"30","New York-Newark-Jersey City","NY","22466","1.94"
"31","Oklahoma City","OK","554","1.34"
"32","Orlando-Kissimmee-Sanford","FL","741","1.53"
"33","Philadelphia-Camden-Wilmington","PA","2852","1.57"
"34","Phoenix-Mesa-Scottsdale","AZ","3160","1.76"
"35","Pittsburgh","PA","1002","1.45"
"36","Portland-Vancouver-Hillsboro","OR","1041","1.6"
"37","Providence-Warwick","RI","1317","1.45"
"38","Raleigh","NC","3060","1.69"
"39","Richmond","VA","575","1.59"
"40","Riverside-San Bernardino-Ontario","CA","4267","1.78"
"41","Rochester","NY","4656","1.65"
"42","Sacramento--Roseville--Arden-Arcade","CA","17867","1.74"
"43","St. Louis","MO","1291","1.64"
"44","Salt Lake City","UT","628","1.75"
"45","San Antonio-New Braunfels","TX","9423","1.69"
"46","San Diego-Carlsbad","CA","12793","1.76"
"47","San Francisco-Oakland-Hayward","CA","9065","1.71"
"48","San Jose-Sunnyvale-Santa Clara","CA","4492","1.74"
"49","Seattle-Tacoma-Bellevue","WA","1419","1.52"
"50","Tampa-St. Petersburg-Clearwater","FL","1052","1.81"
"51","Virginia Beach-Norfolk-Newport News","VA","946","1.55"
"52","Washington-Arlington-Alexandria","DC","3089","1.61"
"53","Suppressed","in an MSA of less than 1 million","348548","1.68"
"54","All",NA,"611299","1.67"
