"","GEOID","cbsa","state_abb","variable","pop","moe"
"1","10180","Abilene","TX","B01003_001",170009,NA
"2","10380","Aguadilla-Isabela","PR","B01003_001",307555,NA
"3","10420","Akron","OH","B01003_001",704454,NA
"4","10500","Albany","GA","B01003_001",153101,NA
"5","10540","Albany","OR","B01003_001",122870,NA
"6","10580","Albany-Schenectady-Troy","NY","B01003_001",880481,NA
"7","10740","Albuquerque","NM","B01003_001",910012,NA
"8","10780","Alexandria","LA","B01003_001",153894,NA
"9","10900","Allentown-Bethlehem-Easton","PA","B01003_001",834615,NA
"10","11020","Altoona","PA","B01003_001",123842,NA
"11","11100","Amarillo","TX","B01003_001",263412,125
"12","11180","Ames","IA","B01003_001",96922,NA
"13","11260","Anchorage","AK","B01003_001",399576,NA
"14","11460","Ann Arbor","MI","B01003_001",365961,NA
"15","11500","Anniston-Oxford-Jacksonville","AL","B01003_001",115098,NA
"16","11540","Appleton","WI","B01003_001",234561,NA
"17","11640","Arecibo","PR","B01003_001",183890,NA
"18","11700","Asheville","NC","B01003_001",449937,NA
"19","12020","Athens-Clarke County","GA","B01003_001",205303,NA
"20","12060","Atlanta-Sandy Springs-Roswell","GA","B01003_001",5779463,NA
"21","12100","Atlantic City-Hammonton","NJ","B01003_001",268539,NA
"22","12220","Auburn-Opelika","AL","B01003_001",159287,NA
"23","12260","Augusta-Richmond County","GA","B01003_001",594300,NA
"24","12420","Austin-Round Rock","TX","B01003_001",2058351,NA
"25","12540","Bakersfield","CA","B01003_001",883053,NA
"26","12580","Baltimore-Columbia-Towson","MD","B01003_001",2793250,NA
"27","12620","Bangor","ME","B01003_001",151748,NA
"28","12700","Barnstable Town","MA","B01003_001",213690,NA
"29","12940","Baton Rouge","LA","B01003_001",829642,NA
"30","12980","Battle Creek","MI","B01003_001",134473,NA
"31","13020","Bay City","MI","B01003_001",104786,NA
"32","13140","Beaumont-Port Arthur","TX","B01003_001",409693,NA
"33","13220","Beckley","WV","B01003_001",120358,NA
"34","13380","Bellingham","WA","B01003_001",216812,NA
"35","13460","Bend-Redmond","OR","B01003_001",180640,NA
"36","13740","Billings","MT","B01003_001",169086,100
"37","13780","Binghamton","NY","B01003_001",243447,NA
"38","13820","Birmingham-Hoover","AL","B01003_001",1147054,NA
"39","13900","Bismarck","ND","B01003_001",130531,92
"40","13980","Blacksburg-Christiansburg-Radford","VA","B01003_001",182341,NA
"41","14010","Bloomington","IL","B01003_001",189261,NA
"42","14020","Bloomington","IN","B01003_001",166281,NA
"43","14100","Bloomsburg-Berwick","PA","B01003_001",84514,NA
"44","14260","Boise City","ID","B01003_001",693952,NA
"45","14460","Boston-Cambridge-Newton","MA","B01003_001",4811732,NA
"46","14500","Boulder","CO","B01003_001",321030,NA
"47","14540","Bowling Green","KY","B01003_001",172088,NA
"48","14740","Bremerton-Silverdale","WA","B01003_001",262475,NA
"49","14860","Bridgeport-Stamford-Norwalk","CT","B01003_001",944348,NA
"50","15180","Brownsville-Harlingen","TX","B01003_001",421750,NA
"51","15260","Brunswick","GA","B01003_001",116655,NA
"52","15380","Buffalo-Cheektowaga-Niagara Falls","NY","B01003_001",1131570,NA
"53","15500","Burlington","NC","B01003_001",160576,NA
"54","15540","Burlington-South Burlington","VT","B01003_001",218042,NA
"55","15680","California-Lexington Park","MD","B01003_001",111531,NA
"56","15940","Canton-Massillon","OH","B01003_001",401053,NA
"57","15980","Cape Coral-Fort Myers","FL","B01003_001",718679,NA
"58","16020","Cape Girardeau","MO","B01003_001",97137,NA
"59","16060","Carbondale-Marion","IL","B01003_001",125850,NA
"60","16180","Carson City","NV","B01003_001",54467,NA
"61","16220","Casper","WY","B01003_001",80610,NA
"62","16300","Cedar Rapids","IA","B01003_001",268315,NA
"63","16540","Chambersburg-Waynesboro","PA","B01003_001",153751,NA
"64","16580","Champaign-Urbana","IL","B01003_001",239273,NA
"65","16620","Charleston","WV","B01003_001",217312,NA
"66","16700","Charleston-North Charleston","SC","B01003_001",759247,NA
"67","16740","Charlotte-Concord-Gastonia","NC","B01003_001",2473125,NA
"68","16820","Charlottesville","VA","B01003_001",230905,NA
"69","16860","Chattanooga","TN","B01003_001",552043,NA
"70","16940","Cheyenne","WY","B01003_001",97692,NA
"71","16980","Chicago-Naperville-Elgin","IL","B01003_001",9536428,NA
"72","17020","Chico","CA","B01003_001",227075,NA
"73","17140","Cincinnati","OH","B01003_001",2168825,NA
"74","17300","Clarksville","TN","B01003_001",282994,NA
"75","17420","Cleveland","TN","B01003_001",121339,NA
"76","17460","Cleveland-Elyria","OH","B01003_001",2061766,NA
"77","17660","Coeur d'Alene","ID","B01003_001",153605,NA
"78","17780","College Station-Bryan","TX","B01003_001",253946,NA
"79","17820","Colorado Springs","CO","B01003_001",712266,NA
"80","17860","Columbia","MO","B01003_001",176515,NA
"81","17900","Columbia","SC","B01003_001",816664,NA
"82","17980","Columbus","GA","B01003_001",307724,NA
"83","18020","Columbus","IN","B01003_001",81893,NA
"84","18140","Columbus","OH","B01003_001",2054062,NA
"85","18580","Corpus Christi","TX","B01003_001",452295,NA
"86","18700","Corvallis","OR","B01003_001",89780,NA
"87","18880","Crestview-Fort Walton Beach-Destin","FL","B01003_001",266595,NA
"88","19060","Cumberland","MD","B01003_001",99255,NA
"89","19100","Dallas-Fort Worth-Arlington","TX","B01003_001",7255028,NA
"90","19140","Dalton","GA","B01003_001",143406,NA
"91","19180","Danville","IL","B01003_001",78407,NA
"92","19300","Daphne-Fairhope-Foley","AL","B01003_001",208107,NA
"93","19340","Davenport-Moline-Rock Island","IA","B01003_001",382720,NA
"94","19380","Dayton","OH","B01003_001",802645,NA
"95","19460","Decatur","AL","B01003_001",152293,NA
"96","19500","Decatur","IL","B01003_001",106512,NA
"97","19660","Deltona-Daytona Beach-Ormond Beach","FL","B01003_001",634773,NA
"98","19740","Denver-Aurora-Lakewood","CO","B01003_001",2850221,NA
"99","19780","Des Moines-West Des Moines","IA","B01003_001",634201,NA
"100","19820","Detroit-Warren-Dearborn","MI","B01003_001",4317179,NA
"101","20020","Dothan","AL","B01003_001",147967,NA
"102","20100","Dover","DE","B01003_001",174822,NA
"103","20220","Dubuque","IA","B01003_001",96802,NA
"104","20260","Duluth","MN","B01003_001",279022,NA
"105","20500","Durham-Chapel Hill","NC","B01003_001",558491,NA
"106","20700","East Stroudsburg","PA","B01003_001",167586,NA
"107","20740","Eau Claire","WI","B01003_001",166626,NA
"108","20940","El Centro","CA","B01003_001",180216,NA
"109","21060","Elizabethtown-Fort Knox","KY","B01003_001",150577,NA
"110","21140","Elkhart-Goshen","IN","B01003_001",203604,NA
"111","21300","Elmira","NY","B01003_001",85740,NA
"112","21340","El Paso","TX","B01003_001",841752,NA
"113","21420","Enid","OK","B01003_001",62190,NA
"114","21500","Erie","PA","B01003_001",275972,NA
"115","21660","Eugene","OR","B01003_001",368882,NA
"116","21780","Evansville","IN","B01003_001",314967,NA
"117","21820","Fairbanks","AK","B01003_001",99653,NA
"118","22020","Fargo","ND","B01003_001",237003,NA
"119","22140","Farmington","NM","B01003_001",127455,NA
"120","22180","Fayetteville","NC","B01003_001",385345,NA
"121","22220","Fayetteville-Springdale-Rogers","AR","B01003_001",526412,NA
"122","22380","Flagstaff","AZ","B01003_001",140217,NA
"123","22420","Flint","MI","B01003_001",409361,NA
"124","22500","Florence","SC","B01003_001",205814,NA
"125","22520","Florence-Muscle Shoals","AL","B01003_001",147080,NA
"126","22540","Fond du Lac","WI","B01003_001",102315,NA
"127","22660","Fort Collins","CO","B01003_001",338161,NA
"128","22900","Fort Smith","AR","B01003_001",281201,NA
"129","23060","Fort Wayne","IN","B01003_001",431612,NA
"130","23420","Fresno","CA","B01003_001",978130,NA
"131","23460","Gadsden","AL","B01003_001",102939,NA
"132","23540","Gainesville","FL","B01003_001",280763,NA
"133","23580","Gainesville","GA","B01003_001",195961,NA
"134","23900","Gettysburg","PA","B01003_001",102023,NA
"135","24020","Glens Falls","NY","B01003_001",126308,NA
"136","24140","Goldsboro","NC","B01003_001",124002,NA
"137","24220","Grand Forks","ND","B01003_001",101991,NA
"138","24260","Grand Island","NE","B01003_001",84729,NA
"139","24300","Grand Junction","CO","B01003_001",149998,NA
"140","24340","Grand Rapids-Wyoming","MI","B01003_001",1050440,NA
"141","24420","Grants Pass","OR","B01003_001",85481,NA
"142","24500","Great Falls","MT","B01003_001",81746,NA
"143","24540","Greeley","CO","B01003_001",295123,NA
"144","24580","Green Bay","WI","B01003_001",317702,NA
"145","24660","Greensboro-High Point","NC","B01003_001",757810,NA
"146","24780","Greenville","NC","B01003_001",177372,NA
"147","24860","Greenville-Anderson-Mauldin","SC","B01003_001",883853,NA
"148","25020","Guayama","PR","B01003_001",77151,NA
"149","25060","Gulfport-Biloxi-Pascagoula","MS","B01003_001",391293,NA
"150","25180","Hagerstown-Martinsburg","MD","B01003_001",263306,NA
"151","25220","Hammond","LA","B01003_001",130504,NA
"152","25260","Hanford-Corcoran","CA","B01003_001",150075,NA
"153","25420","Harrisburg-Carlisle","PA","B01003_001",567872,NA
"154","25500","Harrisonburg","VA","B01003_001",132835,NA
"155","25540","Hartford-West Hartford-East Hartford","CT","B01003_001",1209367,NA
"156","25620","Hattiesburg","MS","B01003_001",148768,NA
"157","25860","Hickory-Lenoir-Morganton","NC","B01003_001",365339,NA
"158","25940","Hilton Head Island-Bluffton-Beaufort","SC","B01003_001",210558,NA
"159","25980","Hinesville","GA","B01003_001",80264,NA
"160","26140","Homosassa Springs","FL","B01003_001",143087,NA
"161","26300","Hot Springs","AR","B01003_001",98296,NA
"162","26380","Houma-Thibodaux","LA","B01003_001",210801,NA
"163","26420","Houston-The Woodlands-Sugar Land","TX","B01003_001",6779104,NA
"164","26580","Huntington-Ashland","WV","B01003_001",358234,NA
"165","26620","Huntsville","AL","B01003_001",450612,NA
"166","26820","Idaho Falls","ID","B01003_001",142968,NA
"167","26900","Indianapolis-Carmel-Anderson","IN","B01003_001",2007497,NA
"168","26980","Iowa City","IA","B01003_001",169144,NA
"169","27060","Ithaca","NY","B01003_001",102962,NA
"170","27100","Jackson","MI","B01003_001",158913,NA
"171","27140","Jackson","MS","B01003_001",580280,NA
"172","27180","Jackson","TN","B01003_001",129331,NA
"173","27260","Jacksonville","FL","B01003_001",1475386,NA
"174","27340","Jacksonville","NC","B01003_001",193912,NA
"175","27500","Janesville-Beloit","WI","B01003_001",161769,NA
"176","27620","Jefferson City","MO","B01003_001",151157,NA
"177","27740","Johnson City","TN","B01003_001",201226,NA
"178","27780","Johnstown","PA","B01003_001",134550,NA
"179","27860","Jonesboro","AR","B01003_001",129755,NA
"180","27900","Joplin","MO","B01003_001",177440,NA
"181","27980","Kahului-Wailuku-Lahaina","HI","B01003_001",165356,NA
"182","28020","Kalamazoo-Portage","MI","B01003_001",336845,NA
"183","28100","Kankakee","IL","B01003_001",111061,NA
"184","28140","Kansas City","MO","B01003_001",2106632,NA
"185","28420","Kennewick-Richland","WA","B01003_001",284828,NA
"186","28660","Killeen-Temple","TX","B01003_001",438265,NA
"187","28700","Kingsport-Bristol-Bristol","TN","B01003_001",306394,NA
"188","28740","Kingston","NY","B01003_001",179303,NA
"189","28940","Knoxville","TN","B01003_001",868499,NA
"190","29020","Kokomo","IN","B01003_001",82387,NA
"191","29100","La Crosse-Onalaska","WI","B01003_001",136513,NA
"192","29180","Lafayette","LA","B01003_001",488969,NA
"193","29200","Lafayette-West Lafayette","IN","B01003_001",217955,NA
"194","29340","Lake Charles","LA","B01003_001",207050,NA
"195","29420","Lake Havasu City-Kingman","AZ","B01003_001",206064,NA
"196","29460","Lakeland-Winter Haven","FL","B01003_001",668671,NA
"197","29540","Lancaster","PA","B01003_001",538347,NA
"198","29620","Lansing-East Lansing","MI","B01003_001",476615,NA
"199","29700","Laredo","TX","B01003_001",272053,NA
"200","29740","Las Cruces","NM","B01003_001",215338,NA
"201","29820","Las Vegas-Henderson-Paradise","NV","B01003_001",2141574,NA
"202","29940","Lawrence","KS","B01003_001",119319,NA
"203","30020","Lawton","OK","B01003_001",128490,NA
"204","30140","Lebanon","PA","B01003_001",138674,NA
"205","30300","Lewiston","ID","B01003_001",62492,NA
"206","30340","Lewiston-Auburn","ME","B01003_001",107444,NA
"207","30460","Lexington-Fayette","KY","B01003_001",506786,NA
"208","30620","Lima","OH","B01003_001",103642,NA
"209","30700","Lincoln","NE","B01003_001",327221,NA
"210","30780","Little Rock-North Little Rock-Conway","AR","B01003_001",734502,NA
"211","30860","Logan","UT","B01003_001",135615,NA
"212","30980","Longview","TX","B01003_001",217858,NA
"213","31020","Longview","WA","B01003_001",105112,NA
"214","31080","Los Angeles-Long Beach-Anaheim","CA","B01003_001",13262234,NA
"215","31140","Louisville/Jefferson County","KY","B01003_001",1285270,NA
"216","31180","Lubbock","TX","B01003_001",313123,NA
"217","31340","Lynchburg","VA","B01003_001",260668,NA
"218","31420","Macon-Bibb County","GA","B01003_001",229676,NA
"219","31460","Madera","CA","B01003_001",155013,NA
"220","31540","Madison","WI","B01003_001",647281,NA
"221","31700","Manchester-Nashua","NH","B01003_001",411087,NA
"222","31740","Manhattan","KS","B01003_001",98841,NA
"223","31860","Mankato-North Mankato","MN","B01003_001",100105,NA
"224","31900","Mansfield","OH","B01003_001",121324,NA
"225","32420","Mayagüez","PR","B01003_001",93435,NA
"226","32580","McAllen-Edinburg-Mission","TX","B01003_001",849389,NA
"227","32780","Medford","OR","B01003_001",214267,NA
"228","32820","Memphis","TN","B01003_001",1345991,NA
"229","32900","Merced","CA","B01003_001",269075,NA
"230","33100","Miami-Fort Lauderdale-West Palm Beach","FL","B01003_001",6070944,NA
"231","33140","Michigan City-La Porte","IN","B01003_001",110552,NA
"232","33220","Midland","MI","B01003_001",83389,NA
"233","33260","Midland","TX","B01003_001",169808,NA
"234","33340","Milwaukee-Waukesha-West Allis","WI","B01003_001",1575907,NA
"235","33460","Minneapolis-St. Paul-Bloomington","MN","B01003_001",3557528,NA
"236","33540","Missoula","MT","B01003_001",115983,NA
"237","33660","Mobile","AL","B01003_001",414659,NA
"238","33700","Modesto","CA","B01003_001",539301,NA
