"","cbsa","state_abb"
"1","Atlanta-Sandy Springs-Roswell","GA"
"2","Austin-Round Rock","TX"
"3","Baltimore-Columbia-Towson","MD"
"4","Birmingham-Hoover","AL"
"5","Boston-Cambridge-Newton","MA"
"6","Buffalo-Cheektowaga-Niagara Falls","NY"
"7","Charlotte-Concord-Gastonia","NC"
"8","Chicago-Naperville-Elgin","IL"
"9","Cincinnati","OH"
"10","Cleveland-Elyria","OH"
"11","Columbus","OH"
"12","Dallas-Fort Worth-Arlington","TX"
"13","Denver-Aurora-Lakewood","CO"
"14","Detroit-Warren-Dearborn","MI"
"15","Grand Rapids-Wyoming","MI"
"16","Hartford-West Hartford-East Hartford","CT"
"17","Houston-The Woodlands-Sugar Land","TX"
"18","Indianapolis-Carmel-Anderson","IN"
"19","Jacksonville","FL"
"20","Kansas City","MO"
"21","Las Vegas-Henderson-Paradise","NV"
"22","Los Angeles-Long Beach-Anaheim","CA"
"23","Louisville/Jefferson County","KY"
"24","Memphis","TN"
"25","Miami-Fort Lauderdale-West Palm Beach","FL"
"26","Milwaukee-Waukesha-West Allis","WI"
"27","Minneapolis-St. Paul-Bloomington","MN"
"28","Nashville-Davidson--Murfreesboro--Franklin","TN"
"29","New Orleans-Metairie","LA"
"30","New York-Newark-Jersey City","NY"
"31","Oklahoma City","OK"
"32","Orlando-Kissimmee-Sanford","FL"
"33","Philadelphia-Camden-Wilmington","PA"
"34","Phoenix-Mesa-Scottsdale","AZ"
"35","Pittsburgh","PA"
"36","Portland-Vancouver-Hillsboro","OR"
"37","Providence-Warwick","RI"
"38","Raleigh","NC"
"39","Richmond","VA"
"40","Riverside-San Bernardino-Ontario","CA"
"41","Rochester","NY"
"42","Sacramento--Roseville--Arden-Arcade","CA"
"43","St. Louis","MO"
"44","Salt Lake City","UT"
"45","San Antonio-New Braunfels","TX"
"46","San Diego-Carlsbad","CA"
"47","San Francisco-Oakland-Hayward","CA"
"48","San Jose-Sunnyvale-Santa Clara","CA"
"49","Seattle-Tacoma-Bellevue","WA"
"50","Tampa-St. Petersburg-Clearwater","FL"
"51","Virginia Beach-Norfolk-Newport News","VA"
"52","Washington-Arlington-Alexandria","DC"
"53","Suppressed","in an MSA of less than 1 million"
"54","All",NA
