"","cbsa","state_abb","up_to_99","bw_100_499","bw_500_999","bw_1k_2k","bw_2k_4k","bw_4k_10k","bw_10k_25k","over_25k","total","dens_enough"
"1","Atlanta-Sandy Springs-Roswell","GA",1.4,9.4,11.2,23.5,32.6,18.4,3,0.5,100,33.1
"2","Austin-Round Rock","TX",4.4,10.1,7.3,11.4,25.1,37,4.4,0.2,100,25.3
"3","Baltimore-Columbia-Towson","MD",0.5,10.8,5.7,11.5,18.9,31.1,15.8,5.7,100,24.6
"4","Birmingham-Hoover","AL",8.5,22.7,18.6,21.3,22.6,5.5,0.8,0,100,22.6
"5","Boston-Cambridge-Newton","MA",0,7.9,8.4,13.1,19,13.6,21.2,16.6,100,35.6
"6","Buffalo-Cheektowaga-Niagara Falls","NY",2.9,8.6,5.9,10.7,20.6,33.1,18.3,0,100,20.6
"7","Charlotte-Concord-Gastonia","NC",4.9,16.6,13.6,20.7,28.6,14.6,0.7,0.2,100,28.8
"8","Chicago-Naperville-Elgin","IL",1.1,3.7,4.9,10.4,15.6,29.6,22.9,11.9,100,27.5
"9","Cincinnati","OH",2.7,9.8,8.1,21.1,29.1,27.7,1.6,0,100,29.1
"10","Cleveland-Elyria","OH",0.3,8.9,12,12.7,28.1,31.3,6.4,0.2,100,28.3
"11","Columbus","OH",3,8.5,5.8,11.6,26.7,42.3,2.1,0,100,26.7
"12","Dallas-Fort Worth-Arlington","TX",2.1,5.7,5.3,11.1,23.3,42.2,8.6,1.6,100,24.9
"13","Denver-Aurora-Lakewood","CO",1.7,3,2.8,6.8,12.8,49.9,20.5,2.5,100,15.3
"14","Detroit-Warren-Dearborn","MI",1.3,6.2,5.9,13.1,22.8,49.5,1.1,0,100,22.8
"15","Grand Rapids-Wyoming","MI",1.6,24.6,6.7,26.2,11.5,23.3,6.1,0,100,11.5
"16","Hartford-West Hartford-East Hartford","CT",0.3,19.5,14.3,22.2,15.6,16.9,11.2,0,100,15.6
"17","Houston-The Woodlands-Sugar Land","TX",1.6,5.7,4.7,11.2,23.9,41.3,10.4,1.2,100,25.1
"18","Indianapolis-Carmel-Anderson","IN",3.7,11,10.4,17.4,30.9,23.6,2.1,1.1,100,32
"19","Jacksonville","FL",1.3,16.3,11.6,12.3,33.6,25,0,0,100,33.6
"20","Kansas City","MO",7.3,6.7,5.1,18,39,23.4,0,0.5,100,39.5
"21","Las Vegas-Henderson-Paradise","NV",2.1,2.3,1.8,1.9,13.3,53.5,23.6,1.5,100,14.8
"22","Los Angeles-Long Beach-Anaheim","CA",0.3,0.8,1,2.1,7.4,36.2,38.9,13.3,100,20.7
"23","Louisville/Jefferson County","KY",12,9.6,10.4,9.5,23,35.5,0,0,100,23
"24","Memphis","TN",7,12,6.4,17.3,31.3,26,0,0,100,31.3
"25","Miami-Fort Lauderdale-West Palm Beach","FL",0,0.6,3,4.8,14.9,49.7,17.5,9.4,100,24.3
"26","Milwaukee-Waukesha-West Allis","WI",0.7,9.5,8.2,13.3,17.7,32.7,15.2,2.8,100,20.5
"27","Minneapolis-St. Paul-Bloomington","MN",3.9,8.9,5.2,10.5,29.9,33.1,7.2,1.1,100,31
"28","Nashville-Davidson--Murfreesboro--Franklin","TN",13.2,19,12.2,18.8,21.4,14.7,0.7,0,100,21.4
"29","New Orleans-Metairie","LA",0.6,3.4,3.5,11.6,18.2,49,13.6,0.1,100,18.3
"30","New York-Newark-Jersey City","NY",0.4,3.8,3.1,6.6,11.1,16.9,14.7,43.5,100,54.6
"31","Oklahoma City","OK",5.6,18.2,2.9,13,28.4,31.9,0,0,100,28.4
"32","Orlando-Kissimmee-Sanford","FL",0.2,9.3,10,14.6,35.5,28.3,2.2,0,100,35.5
"33","Philadelphia-Camden-Wilmington","PA",0.8,7,8,11.3,18.4,25.5,16.3,12.8,100,31.2
"34","Phoenix-Mesa-Scottsdale","AZ",2.1,3.7,3.5,8,26,47.9,7.7,1.1,100,27.1
"35","Pittsburgh","PA",4.9,10.6,10.5,12.7,25.3,25.3,9.3,1.4,100,26.7
"36","Portland-Vancouver-Hillsboro","OR",2.9,4.3,4.9,5.8,16.3,51.3,14.1,0.4,100,16.7
"37","Providence-Warwick","RI",0.3,10.6,12.2,11.2,18.1,35.5,12,0,100,18.1
"38","Raleigh","NC",2,12.8,13.8,17.5,34.6,18.6,0.7,0,100,34.6
"39","Richmond","VA",4.6,8.5,7.2,22.2,37.7,13,6.8,0,100,37.7
"40","Riverside-San Bernardino-Ontario","CA",3.6,5.8,5.6,10.2,21.9,41.4,11,0.4,100,22.3
"41","Rochester","NY",7.9,12.1,8,19.9,22.7,18.8,10.6,0,100,22.7
"42","Sacramento--Roseville--Arden-Arcade","CA",2.7,4.9,3.4,5.8,16.4,52.2,14.4,0.2,100,16.6
"43","St. Louis","MO",5,11.2,6.2,11.9,31.7,30.6,3.5,0,100,31.7
"44","Salt Lake City","UT",1.1,3,1,4.5,12.2,65.5,12.7,0,100,12.2
"45","San Antonio-New Braunfels","TX",4.3,11.2,3.5,9.5,22.8,42.4,6.2,0,100,22.8
"46","San Diego-Carlsbad","CA",0.8,3.2,1.5,5.6,15.1,37.8,29.9,6.1,100,21.2
"47","San Francisco-Oakland-Hayward","CA",0.3,1.7,2,4.6,9.5,30.9,33.2,17.8,100,27.3
"48","San Jose-Sunnyvale-Santa Clara","CA",1.8,0.8,1.1,4.1,6.4,43.9,38,3.9,100,10.3
"49","Seattle-Tacoma-Bellevue","WA",2.1,4.2,1.9,6.2,19,43.8,19.4,3.4,100,22.4
"50","Tampa-St. Petersburg-Clearwater","FL",1.6,4.4,2,8.4,34.4,44.1,5.1,0,100,34.4
"51","Virginia Beach-Norfolk-Newport News","VA",3,5.5,1.7,7.6,22.4,55.6,4.2,0,100,22.4
"52","Washington-Arlington-Alexandria","DC",2.5,5.3,4.6,7.9,18.4,28.8,18.8,13.7,100,32.1
"53","Suppressed","in an MSA of less than 1 million",20,19.7,10.4,13.5,17.2,16.7,2.2,0.3,100,17.5
"54","All",NA,10.2,12.5,7.7,11.7,18.7,25.3,8.7,5.1,100,23.8
