"","cbsa","state_abb","gas","diesel","elec_n_hyb","other","total"
"1","Atlanta-Sandy Springs-Roswell","GA",95.9,1.6,2.5,0,100
"2","Austin-Round Rock","TX",93.9,2.2,3.8,0.1,100
"3","Baltimore-Columbia-Towson","MD",93.2,2.3,4.4,0.1,100
"4","Birmingham-Hoover","AL",95.8,1.3,1.9,1.1,100
"5","Boston-Cambridge-Newton","MA",94.8,1.7,3.5,0,100
"6","Buffalo-Cheektowaga-Niagara Falls","NY",97.7,1.4,0.9,0,100
"7","Charlotte-Concord-Gastonia","NC",95.1,2.8,2.1,0,100
"8","Chicago-Naperville-Elgin","IL",96.1,2,1.8,0.1,100
"9","Cincinnati","OH",96.7,0.8,2.5,0,100
"10","Cleveland-Elyria","OH",95.1,2.4,2.5,0,100
"11","Columbus","OH",97.1,0.9,1.9,0.1,100
"12","Dallas-Fort Worth-Arlington","TX",95.9,2.2,1.9,0.1,100
"13","Denver-Aurora-Lakewood","CO",93.6,3.7,2.7,0,100
"14","Detroit-Warren-Dearborn","MI",98.1,0.5,1.4,0,100
"15","Grand Rapids-Wyoming","MI",96.1,1.4,2.5,0,100
"16","Hartford-West Hartford-East Hartford","CT",96.7,0,3.3,0,100
"17","Houston-The Woodlands-Sugar Land","TX",95.8,2.4,1.8,0.1,100
"18","Indianapolis-Carmel-Anderson","IN",97,1.2,1.8,0,100
"19","Jacksonville","FL",95.2,3.5,1.3,0,100
"20","Kansas City","MO",94.1,4.3,1.6,0,100
"21","Las Vegas-Henderson-Paradise","NV",96.1,2,1.8,0,100
"22","Los Angeles-Long Beach-Anaheim","CA",92.8,1.5,5.6,0.1,100
"23","Louisville/Jefferson County","KY",96.3,0.6,3.1,0,100
"24","Memphis","TN",97.7,2.3,0,0,100
"25","Miami-Fort Lauderdale-West Palm Beach","FL",96.4,1.1,2.5,0,100
"26","Milwaukee-Waukesha-West Allis","WI",97.1,1.2,1.6,0,100
"27","Minneapolis-St. Paul-Bloomington","MN",97.2,0.9,1.7,0.2,100
"28","Nashville-Davidson--Murfreesboro--Franklin","TN",96.6,1.6,1.8,0,100
"29","New Orleans-Metairie","LA",94.9,4.8,0.3,0,100
"30","New York-Newark-Jersey City","NY",96.9,1.1,1.9,0,100
"31","Oklahoma City","OK",95.5,2.6,1.8,0,100
"32","Orlando-Kissimmee-Sanford","FL",95.7,1.6,2.7,0,100
"33","Philadelphia-Camden-Wilmington","PA",96.1,1.5,2.4,0,100
"34","Phoenix-Mesa-Scottsdale","AZ",94.8,2.6,2.4,0.2,100
"35","Pittsburgh","PA",97.3,1.7,1,0,100
"36","Portland-Vancouver-Hillsboro","OR",93.3,3.6,3.1,0,100
"37","Providence-Warwick","RI",97.4,0.5,2.1,0,100
"38","Raleigh","NC",95.7,1.3,3,0.1,100
"39","Richmond","VA",96,1.4,2.6,0,100
"40","Riverside-San Bernardino-Ontario","CA",95.2,2.1,2.6,0,100
"41","Rochester","NY",97.8,1.1,1.1,0,100
"42","Sacramento--Roseville--Arden-Arcade","CA",94.1,2.5,3.2,0.2,100
"43","St. Louis","MO",96.9,0.6,2.5,0,100
"44","Salt Lake City","UT",93.5,3.8,2,0.6,100
"45","San Antonio-New Braunfels","TX",96.4,2.3,1.3,0,100
"46","San Diego-Carlsbad","CA",93.1,2.3,4.6,0,100
"47","San Francisco-Oakland-Hayward","CA",90.7,1.9,7.4,0,100
"48","San Jose-Sunnyvale-Santa Clara","CA",89.9,1.2,8.7,0.1,100
"49","Seattle-Tacoma-Bellevue","WA",93.9,2.7,3.3,0,100
"50","Tampa-St. Petersburg-Clearwater","FL",94.4,2.5,3.1,0,100
"51","Virginia Beach-Norfolk-Newport News","VA",95.4,1.3,3.3,0,100
"52","Washington-Arlington-Alexandria","DC",95,1.4,3.7,0,100
