"","cbsa","name","state_abb","all_fuels","hydro","other_ren","ren_prc"
"1","Hartford-West Hartford-East Hartford","CONNECTICUT","CT",38945,428,895,3.39709847220439
"2","Boston-Cambridge-Newton","MASSACHUSETTS","MA",20646,970,2317,15.9207594691466
"3","Providence-Warwick","RHODE ISLAND","RI",7421,4,461,6.2660018865382
"4","Buffalo-Cheektowaga-Niagara Falls","NEW YORK","NY",129483,30555,6528,28.6392808322328
"5","New York-Newark-Jersey City","NEW YORK","NY",129483,30555,6528,28.6392808322328
"6","Rochester","NEW YORK","NY",129483,30555,6528,28.6392808322328
"7","Philadelphia-Camden-Wilmington","PENNSYLVANIA","PA",226064,3503,4803,3.67418076296978
"8","Pittsburgh","PENNSYLVANIA","PA",226064,3503,4803,3.67418076296978
"9","Chicago-Naperville-Elgin","ILLINOIS","IL",181527,123,14926,8.29022679821735
"10","Indianapolis-Carmel-Anderson","INDIANA","IN",97824,256,6916,7.33153418384037
"11","Detroit-Warren-Dearborn","MICHIGAN","MI",114569,1640,7623,8.0850840977926
"12","Grand Rapids-Wyoming","MICHIGAN","MI",114569,1640,7623,8.0850840977926
"13","Cincinnati","OHIO","OH",119067,403,2555,2.4843155534279
"14","Cleveland-Elyria","OHIO","OH",119067,403,2555,2.4843155534279
"15","Columbus","OHIO","OH",119067,403,2555,2.4843155534279
"16","Milwaukee-Waukesha-West Allis","WISCONSIN","WI",60885,2527,2648,8.49963045084996
"17","Minneapolis-St. Paul-Bloomington","MINNESOTA","MN",58062,959,12676,23.4835176190968
"18","Kansas City","MISSOURI","MO",78053,2216,3030,6.7210741419292
"19","St. Louis","MISSOURI","MO",78053,2216,3030,6.7210741419292
"20","Washington-Arlington-Alexandria","DISTRICT OF COLUMBIA","DC",9,0,9,100
"21","Jacksonville","FLORIDA","FL",240427,210,6430,2.76175304770263
"22","Miami-Fort Lauderdale-West Palm Beach","FLORIDA","FL",240427,210,6430,2.76175304770263
"23","Orlando-Kissimmee-Sanford","FLORIDA","FL",240427,210,6430,2.76175304770263
"24","Tampa-St. Petersburg-Clearwater","FLORIDA","FL",240427,210,6430,2.76175304770263
"25","Atlanta-Sandy Springs-Roswell","GEORGIA","GA",123501,3938,3364,5.91250273277139
"26","Baltimore-Columbia-Towson","MARYLAND","MD",38144,2188,1324,9.20721476510067
"27","Charlotte-Concord-Gastonia","NORTH CAROLINA","NC",129135,6172,9177,11.8860107639292
"28","Raleigh","NORTH CAROLINA","NC",129135,6172,9177,11.8860107639292
"29","Richmond","VIRGINIA","VA",94056,1519,3090,4.90027217827677
"30","Virginia Beach-Norfolk-Newport News","VIRGINIA","VA",94056,1519,3090,4.90027217827677
"31","Birmingham-Hoover","ALABAMA","AL",137777,11405,425,8.58633879384803
"32","Louisville/Jefferson County","KENTUCKY","KY",71293,4232,143,6.13664735668298
"33","Memphis","TENNESSEE","TN",79584,10130,431,13.2702553277041
"34","Nashville-Davidson--Murfreesboro--Franklin","TENNESSEE","TN",79584,10130,431,13.2702553277041
"35","New Orleans-Metairie","LOUISIANA","LA",67824,1366,85,2.1393606982779
"36","Oklahoma City","OKLAHOMA","OK",84386,3903,29088,39.0953475695021
"37","Austin-Round Rock","TEXAS","TX",438731,1474,88395,20.4838500128781
"38","Dallas-Fort Worth-Arlington","TEXAS","TX",438731,1474,88395,20.4838500128781
"39","Houston-The Woodlands-Sugar Land","TEXAS","TX",438731,1474,88395,20.4838500128781
"40","San Antonio-New Braunfels","TEXAS","TX",438731,1474,88395,20.4838500128781
"41","Phoenix-Mesa-Scottsdale","ARIZONA","AZ",113400,6204,6047,10.8033509700176
"42","Denver-Aurora-Lakewood","COLORADO","CO",56227,1798,12213,24.9186333967667
"43","Las Vegas-Henderson-Paradise","NEVADA","NV",39008,2242,8595,27.7814807219032
"44","Salt Lake City","UTAH","UT",38517,875,3377,11.0392813562842
"45","Los Angeles-Long Beach-Anaheim","CALIFORNIA","CA",185395,38341,57273,51.5731276463767
"46","Riverside-San Bernardino-Ontario","CALIFORNIA","CA",185395,38341,57273,51.5731276463767
"47","Sacramento--Roseville--Arden-Arcade","CALIFORNIA","CA",185395,38341,57273,51.5731276463767
"48","San Diego-Carlsbad","CALIFORNIA","CA",185395,38341,57273,51.5731276463767
"49","San Francisco-Oakland-Hayward","CALIFORNIA","CA",185395,38341,57273,51.5731276463767
"50","San Jose-Sunnyvale-Santa Clara","CALIFORNIA","CA",185395,38341,57273,51.5731276463767
"51","Portland-Vancouver-Hillsboro","OREGON","OR",61617,30322,7867,61.9780255448983
"52","Seattle-Tacoma-Bellevue","WASHINGTON","WA",104242,66018,7123,70.1646169490225
"53","Suppressed",NA,"in an MSA of less than 1 million",NA,NA,NA,NA
"54","All",NA,NA,NA,NA,NA,NA
