"","cbsa","state_abb","walk","bicycle","car","suv","van","pickup_truck","golf_cart","motorcycle","RV","school_bus","public_bus","paratransit","private_bus","intercity_bus","commuter_rail","subway","taxi","rental_car","airplane","boat","other","total"
"1","Atlanta-Sandy Springs-Roswell","GA",8.6,0.4,45.9,24.3,5.9,7.3,0.3,0.2,0,3.2,1.3,0.2,0.2,0,0.2,0.6,0.6,0.3,0.2,0,0.3,100
"2","Austin-Round Rock","TX",8.8,1.3,46.8,22.5,5.2,9.9,0.1,0.5,0,2.1,1.2,0.1,0.3,0,0,0,0.3,0.5,0.2,0,0.4,100
"3","Baltimore-Columbia-Towson","MD",9.9,0.8,42,24.7,5.9,7.4,0,0.1,0,2.9,3.7,0.3,0.2,0,0,0.1,0.5,0,0.1,0.1,1.3,100
"4","Birmingham-Hoover","AL",2.1,0,55,24.9,8.1,5,0,0,0,3.4,0.5,0,0,0,0,0,0.3,0.2,0,0,0.5,100
"5","Boston-Cambridge-Newton","MA",18.4,1.5,37.5,21.5,5.7,3.5,0,0,0,3,1.7,0.4,0.5,0,0.7,4,0.7,0.1,0.2,0.2,0.4,100
"6","Buffalo-Cheektowaga-Niagara Falls","NY",11.7,0.9,37.3,24.5,8,8.3,0,0.1,0,4.4,2.9,0.1,0.2,0,0,0.2,0.6,0.1,0.1,0,0.5,100
"7","Charlotte-Concord-Gastonia","NC",8.1,0.5,43.6,27.6,5.2,10.1,0,0.3,0.1,1.9,0.7,0.1,0.4,0,0,0.3,0.5,0.3,0.1,0,0.2,100
"8","Chicago-Naperville-Elgin","IL",15.8,0.9,37.7,20.1,9.5,4.5,0,0.6,0.2,1.6,2.7,0,0.4,0,1.3,3,1,0,0.3,0,0.5,100
"9","Cincinnati","OH",5.9,0.3,52.3,23.1,8.3,6.4,0,0,0,1.4,0.3,0,0,0,0,0,1.8,0,0.4,0,0,100
"10","Cleveland-Elyria","OH",11.3,0.4,37.7,25.4,10.7,6,0,0,0,4,3.3,0,0,0,0.1,0.1,0,0.6,0.1,0,0.3,100
"11","Columbus","OH",7.4,0.8,57.6,20,8.6,1.8,0,0.1,0,1.3,1.3,0.6,0.1,0,0,0,0.4,0,0.1,0,0,100
"12","Dallas-Fort Worth-Arlington","TX",6.6,0.5,44.7,26,6.8,10.7,0,0.2,0.1,1.5,0.7,0.1,0.2,0,0.1,0.4,0.4,0.3,0.3,0,0.4,100
"13","Denver-Aurora-Lakewood","CO",11.8,2.1,41.6,30,2.7,6.3,0,0.3,0,0.3,1.7,0,0.3,0,0,0.4,0.3,0.4,0.2,0.1,1.4,100
