"","cbsa","state_abb","work_home_pct","no_work_home_pct","total"
"1","Atlanta-Sandy Springs-Roswell","GA",15.8,84.2,"100"
"2","Austin-Round Rock","TX",14.9,85.1,"100"
"3","Baltimore-Columbia-Towson","MD",12.4,87.6,"100"
"4","Birmingham-Hoover","AL",6.9,93.1,"100"
"5","Boston-Cambridge-Newton","MA",12.9,87.1,"100"
"6","Buffalo-Cheektowaga-Niagara Falls","NY",6.5,93.5,"100"
"7","Charlotte-Concord-Gastonia","NC",12.7,87.3,"100"
"8","Chicago-Naperville-Elgin","IL",9.9,90.1,"100"
"9","Cincinnati","OH",12.2,87.8,"100"
"10","Cleveland-Elyria","OH",11.8,88.2,"100"
"11","Columbus","OH",7,93,"100"
"12","Dallas-Fort Worth-Arlington","TX",13,87,"100"
"13","Denver-Aurora-Lakewood","CO",14.3,85.7,"100"
"14","Detroit-Warren-Dearborn","MI",10.9,89.1,"100"
"15","Grand Rapids-Wyoming","MI",4.9,95.1,"100"
"16","Hartford-West Hartford-East Hartford","CT",13.1,86.9,"100"
"17","Houston-The Woodlands-Sugar Land","TX",12,88,"100"
"18","Indianapolis-Carmel-Anderson","IN",6.3,93.7,"100"
"19","Jacksonville","FL",18.2,81.8,"100"
"20","Kansas City","MO",7,93,"100"
"21","Las Vegas-Henderson-Paradise","NV",11.9,88.1,"100"
"22","Los Angeles-Long Beach-Anaheim","CA",16.8,83.2,"100"
"23","Louisville/Jefferson County","KY",18.5,81.5,"100"
"24","Memphis","TN",10,90,"100"
"25","Miami-Fort Lauderdale-West Palm Beach","FL",17,83,"100"
"26","Milwaukee-Waukesha-West Allis","WI",8.3,91.7,"100"
"27","Minneapolis-St. Paul-Bloomington","MN",12.6,87.4,"100"
"28","Nashville-Davidson--Murfreesboro--Franklin","TN",6.9,93.1,"100"
"29","New Orleans-Metairie","LA",16.2,83.8,"100"
"30","New York-Newark-Jersey City","NY",10.5,89.5,"100"
"31","Oklahoma City","OK",12.8,87.2,"100"
"32","Orlando-Kissimmee-Sanford","FL",12.3,87.7,"100"
"33","Philadelphia-Camden-Wilmington","PA",10.7,89.3,"100"
"34","Phoenix-Mesa-Scottsdale","AZ",18,82,"100"
"35","Pittsburgh","PA",8.7,91.3,"100"
"36","Portland-Vancouver-Hillsboro","OR",15.2,84.8,"100"
"37","Providence-Warwick","RI",6.9,93.1,"100"
"38","Raleigh","NC",14.2,85.8,"100"
"39","Richmond","VA",12.1,87.9,"100"
"40","Riverside-San Bernardino-Ontario","CA",12.3,87.7,"100"
"41","Rochester","NY",8.5,91.5,"100"
"42","Sacramento--Roseville--Arden-Arcade","CA",12.4,87.6,"100"
"43","St. Louis","MO",11.5,88.5,"100"
"44","Salt Lake City","UT",14.1,85.9,"100"
"45","San Antonio-New Braunfels","TX",9.8,90.2,"100"
"46","San Diego-Carlsbad","CA",13.3,86.7,"100"
"47","San Francisco-Oakland-Hayward","CA",14,86,"100"
"48","San Jose-Sunnyvale-Santa Clara","CA",11.5,88.5,"100"
"49","Seattle-Tacoma-Bellevue","WA",12.8,87.2,"100"
"50","Tampa-St. Petersburg-Clearwater","FL",21.1,78.9,"100"
"51","Virginia Beach-Norfolk-Newport News","VA",3.5,96.5,"100"
"52","Washington-Arlington-Alexandria","DC",13.9,86.1,"100"
"53","Suppressed","in an MSA of less than 1 million",11,89,"100"
"54","All",NA,11.9,88.1,"100"
